,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,individual,weaptype1,nkill,property,ishostkid,gname
11551,0,185,8,94,531,42.815372,-1.653616,1.0,0,0.0,1,0,7,19,1009,69.0,0,8,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
67680,0,200,10,205,1707,34.558525,38.293671,1.0,0,1.0,1,0,3,14,890,200.0,0,6,5.0,-9,0.0,Islamic State of Iraq and the Levant (ISIL)
69380,1,147,11,108,714,10.880887,12.503084,2.0,1,0.0,1,0,6,14,559,147.0,0,5,4.0,1,1.0,Boko Haram
49346,0,92,6,126,790,23.806818,84.296339,2.0,0,0.0,1,0,6,14,1310,92.0,0,9,1.0,0,1.0,Communist Party of India - Maoist (CPI-Maoist)
28019,0,92,6,337,3433,30.672393,74.755048,1.0,1,0.0,1,0,2,3,562,92.0,0,5,2.0,1,0.0,Sikh Extremists
31904,0,45,3,366,2500,7.116294,-73.120026,1.0,0,0.0,1,0,3,1,3160,45.0,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
10028,0,97,10,458,3043,31.771599,35.2034,1.0,0,0.0,0,0,3,19,1153,97.0,0,6,0.0,0,0.0,Palestinians
73631,0,182,11,66,414,1.808302,44.695141,1.0,1,0.0,1,0,2,4,162,182.0,0,6,1.0,1,0.0,Al-Shabaab
11064,0,183,11,19,168,-26.250692,28.441941,1.0,1,0.0,0,0,3,19,334,183.0,0,6,0.0,1,0.0,African National Congress (South Africa)
27910,0,159,3,479,3367,-15.84065,-70.027891,1.0,0,0.0,1,0,3,2,4184,159.0,0,6,0.0,1,0.0,Shining Path (SL)
79632,0,95,10,37,254,36.354145,43.14357,1.0,0,0.0,1,0,3,14,486,95.0,0,6,7.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
54941,0,228,10,52,312,13.560833,46.156389,1.0,0,0.0,1,0,2,17,639,228.0,0,5,1.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
81824,0,209,10,225,1850,37.080181,41.220196,1.0,1,0.0,1,0,2,4,2424,209.0,0,5,0.0,-9,0.0,Kurdistan Workers' Party (PKK)
