,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,individual,weaptype1,nkill,property,ishostkid,gname
52674,0,95,10,33,192,34.881348,44.62513,1.0,0,1.0,1,0,3,14,13,95.0,0,6,0.0,-9,0.0,Al-Qaida in Iraq
24028,0,69,8,126,750,41.366667,9.266843,1.0,0,1.0,1,0,3,1,361,69.0,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
33014,0,159,3,256,1562,-11.967368,-76.978462,1.0,0,0.0,1,0,3,1,1910,159.0,0,6,0.0,1,0.0,Shining Path (SL)
45443,0,153,6,485,2719,34.398573,72.06038,1.0,0,0.0,1,0,3,14,3192,153.0,0,6,8.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
75519,1,214,9,276,1739,50.4501,30.5234,1.0,0,0.0,1,0,6,2,2118,214.0,0,5,0.0,1,1.0,Muslim extremists
25845,0,209,10,210,1330,37.306944,41.178056,1.0,1,0.0,1,0,3,4,409,209.0,0,6,13.0,1,0.0,Kurdistan Workers' Party (PKK)
40485,0,147,11,110,490,9.933381,8.885243,1.0,0,0.0,1,0,2,14,1339,147.0,0,5,14.0,0,0.0,Fulani extremists
55509,1,160,5,0,13,6.497216,122.105141,1.0,0,0.0,1,0,6,2,14,160.0,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
53897,0,153,6,486,2717,24.891115,67.143311,1.0,0,1.0,1,0,3,15,3209,153.0,0,6,1.0,-9,0.0,Tehrik-i-Taliban Pakistan (TTP)
34291,0,45,3,341,2336,4.21557,-73.81502,1.0,0,0.0,1,0,2,19,2751,45.0,0,5,2.0,1,1.0,Revolutionary Armed Forces of Colombia (FARC)
15905,1,61,2,142,912,13.515493,-88.902328,1.0,0,0.0,1,0,2,4,1235,61.0,0,5,1.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
54857,0,95,10,34,222,36.229574,42.236244,4.0,0,0.0,1,0,1,14,404,95.0,0,5,2.0,0,0.0,Al-Qaida in Iraq
10725,0,159,3,432,2407,-13.65311,-73.95396,1.0,0,0.0,1,0,1,8,2850,159.0,0,5,1.0,0,0.0,Shining Path (SL)
12272,0,92,6,316,24,31.147131,75.341218,4.0,0,0.0,1,0,1,4,2981,92.0,0,10,2.0,0,0.0,Sikh Extremists
26972,0,155,10,410,2226,31.907141,35.198219,1.0,1,0.0,1,0,1,14,2597,97.0,0,5,1.0,0,0.0,Palestinians
46895,0,45,3,323,1858,8.436159,-73.286109,1.0,1,0.0,1,0,3,21,2240,45.0,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
52279,0,95,10,30,177,33.303566,44.371773,1.0,0,1.0,1,0,3,15,354,95.0,0,6,1.0,0,0.0,Al-Qaida in Iraq
12113,0,145,2,391,2124,13.45327,-86.029633,1.0,0,0.0,1,0,2,14,2470,145.0,0,5,13.0,1,0.0,Nicaraguan Democratic Force (FDN)
12322,0,43,3,250,1550,-33.366238,-70.505302,1.0,0,0.0,1,0,3,21,1939,43.0,0,6,1.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
63297,0,228,10,47,267,16.133333,47.233333,3.0,0,0.0,1,1,3,4,488,228.0,0,6,13.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
