,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,individual,weaptype1,nkill,property,ishostkid,gname
64177,0,214,9,118,468,48.187149,38.342617,1.0,1,0.0,1,0,2,4,48,214.0,0,6,0.0,-9,0.0,Donetsk People's Republic
12094,0,145,2,317,1201,13.45396,-85.64027,1.0,0,0.0,1,0,2,4,672,145.0,0,5,0.0,1,0.0,Nicaraguan Democratic Force (FDN)
25359,0,209,10,181,830,37.392896,43.10688,1.0,1,0.0,1,0,2,3,934,209.0,0,5,4.0,1,0.0,Kurdistan Workers' Party (PKK)
76827,0,182,11,55,189,-0.357847,42.54665,1.0,0,0.0,1,0,3,2,249,182.0,0,6,0.0,1,0.0,Al-Shabaab
56506,0,160,5,293,1136,7.435278,125.225278,1.0,0,0.0,1,0,7,1,1281,160.0,0,8,0.0,1,0.0,New People's Army (NPA)
10242,0,145,2,327,1220,12.73797,-86.21399,1.0,0,0.0,1,0,2,4,672,145.0,0,5,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
60076,1,92,6,106,362,18.564658,82.963632,1.0,1,0.0,1,0,6,14,27,92.0,0,8,2.0,1,1.0,Communist Party of India - Maoist (CPI-Maoist)
70145,0,95,10,25,108,33.303566,44.371773,1.0,0,1.0,1,1,3,3,20,95.0,0,6,6.0,-9,0.0,Islamic State of Iraq and the Levant (ISIL)
29729,0,45,3,267,1078,8.69053,-73.66254,3.0,0,0.0,1,0,3,21,1204,45.0,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
39617,1,160,5,5,24,7.075778,125.587755,4.0,0,0.0,1,0,6,14,29,38.0,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
64823,0,104,11,66,208,-1.749689,41.192947,1.0,0,0.0,1,0,2,4,59,104.0,0,5,3.0,-9,0.0,Al-Shabaab
20115,0,92,6,366,1432,30.898024,75.860077,1.0,0,0.0,1,0,3,8,1651,92.0,0,6,0.0,1,0.0,Sikh Extremists
15610,0,159,3,224,926,-11.967368,-76.978462,1.0,0,1.0,1,0,7,1,1565,159.0,0,8,0.0,1,0.0,Shining Path (SL)
17130,0,183,11,21,77,-33.951,18.554,1.0,0,0.0,0,0,1,3,106,183.0,0,6,1.0,1,0.0,African National Congress (South Africa)
80363,0,160,5,287,1122,14.15551,121.566027,3.0,0,0.0,1,0,2,3,85,160.0,0,5,0.0,0,0.0,New People's Army (NPA)
78804,0,182,11,59,194,3.381584,45.598389,1.0,1,0.0,1,0,3,4,304,422.0,0,6,1.0,-9,0.0,Al-Shabaab
41478,0,141,6,214,972,27.708754,85.329498,1.0,0,0.0,0,0,2,3,1123,141.0,0,5,0.0,0,0.0,Maoists
27299,0,92,6,366,1445,31.633078,74.878288,1.0,0,0.0,1,0,1,2,1619,92.0,0,5,1.0,0,0.0,Sikh Extremists
57724,0,160,5,282,1118,10.3725,123.123611,1.0,0,0.0,1,0,7,1,1268,160.0,0,8,0.0,1,0.0,New People's Army (NPA)
58425,1,160,5,2,45,7.037435,118.511496,1.0,0,0.0,1,0,6,1,64,160.0,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
9181,0,159,3,358,1393,-14.083889,-73.588889,1.0,0,0.0,1,0,2,8,1551,159.0,0,5,1.0,1,0.0,Shining Path (SL)
40557,0,45,3,265,24,7.198606,-75.341218,4.0,0,0.0,1,0,2,19,1482,45.0,0,5,4.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
28007,0,155,10,335,1288,31.907141,35.198219,1.0,0,0.0,1,0,1,14,1393,155.0,0,5,1.0,0,0.0,Palestinians
56603,0,95,10,25,108,33.303566,44.371773,1.0,0,1.0,1,1,3,14,13,95.0,0,6,6.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
4907,0,185,8,68,241,43.291618,-1.977903,1.0,0,0.0,1,0,3,1,366,69.0,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
19015,0,159,3,224,926,-11.967368,-76.978462,1.0,0,0.0,1,0,3,1,1033,199.0,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
