,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,individual,weaptype1,nkill,property,ishostkid,gname
60367,1,147,11,130,857,11.247069,12.01246,1.0,0,1.0,1,0,6,1,1843,147.0,0,5,1.0,1,1.0,Boko Haram
73218,0,4,6,586,5009,37.459588,69.52422,3.0,0,1.0,1,0,2,14,27,4.0,0,6,2.0,0,0.0,Taliban
57874,0,182,11,80,575,-0.357847,42.54665,1.0,0,0.0,1,0,3,4,1291,422.0,0,6,2.0,1,0.0,Al-Shabaab
49703,0,147,11,132,862,11.08192,7.715956,1.0,0,1.0,1,0,3,14,13,147.0,0,6,0.0,1,0.0,Boko Haram
36867,0,186,6,291,2762,9.666399,80.020477,1.0,0,0.0,1,0,3,14,3838,186.0,0,6,1.0,-9,0.0,Liberation Tigers of Tamil Eelam (LTTE)
63398,0,182,11,78,572,2.059819,45.326115,1.0,0,0.0,1,0,6,14,908,182.0,0,9,1.0,0,1.0,Al-Shabaab
14407,0,145,2,491,4132,13.47277,-85.76709,1.0,0,0.0,1,0,2,4,803,145.0,0,5,0.0,1,0.0,Nicaraguan Democratic Force (FDN)
80690,0,6,10,377,3406,34.752182,8.058859,1.0,0,0.0,1,0,3,4,162,6.0,0,6,2.0,0,0.0,Muslim extremists
21472,0,43,3,300,2964,-33.010693,-71.527794,1.0,0,0.0,1,0,3,21,4195,43.0,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
31892,0,97,10,516,4265,31.771599,35.2034,1.0,0,0.0,0,0,1,8,5493,97.0,0,9,0.0,0,0.0,Palestinians
29497,0,603,8,212,2263,54.607712,-5.95621,1.0,0,0.0,1,0,3,4,3209,216.0,0,6,0.0,1,0.0,Irish Republican Army (IRA)
26702,0,45,3,436,24,3.27199,-73.087749,4.0,0,0.0,1,0,7,1,5868,45.0,0,8,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
15082,0,61,2,180,1666,13.483333,-88.466667,1.0,0,1.0,1,0,3,21,2700,61.0,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
49348,0,147,11,128,858,11.840929,13.141459,1.0,0,0.0,1,0,2,3,1891,147.0,0,5,1.0,-9,0.0,Boko Haram
44801,0,45,3,414,3556,8.637278,-72.737852,1.0,0,0.0,1,0,3,21,6020,45.0,0,6,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
69133,0,173,10,207,2222,16.529372,43.013416,1.0,0,0.0,1,0,3,14,1888,173.0,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
28923,0,159,3,307,2951,-11.967368,-76.978462,1.0,0,1.0,1,0,3,1,7352,159.0,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
58294,0,45,3,412,3519,8.533734,-73.456863,1.0,0,0.0,1,0,3,21,1073,45.0,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
21158,0,92,6,365,4874,31.724677,75.032208,1.0,1,0.0,1,0,3,19,6564,92.0,0,6,0.0,1,0.0,Sikh Extremists
69452,0,209,10,247,2546,37.570354,44.282055,3.0,0,0.0,0,0,3,20,6,209.0,0,6,0.0,0,0.0,Kurdistan Workers' Party (PKK)
77693,0,153,6,380,3434,34.006004,71.53743,1.0,0,0.0,1,0,3,3,330,153.0,0,6,3.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
82251,0,95,10,41,383,34.010471,44.148235,1.0,0,0.0,0,1,3,14,205,95.0,0,6,6.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
83329,0,147,11,128,1020,10.503236,11.841122,1.0,0,0.0,1,0,2,8,51,147.0,0,9,2.0,0,0.0,Boko Haram
45224,0,92,6,151,1109,18.364195,81.892418,3.0,0,0.0,1,0,7,14,4337,92.0,0,8,0.0,1,0.0,Maoists
30290,0,45,3,415,3506,6.242026,-75.564766,1.0,0,0.0,1,0,3,1,5892,45.0,0,6,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
8798,0,183,11,31,24,-25.743364,28.185292,4.0,0,0.0,1,0,3,21,572,183.0,0,6,0.0,1,0.0,African National Congress (South Africa)
32986,0,159,3,307,2951,-11.967368,-76.978462,1.0,0,0.0,1,0,3,1,6331,159.0,0,6,0.0,1,0.0,Shining Path (SL)
33215,0,69,8,158,1457,41.795233,8.741819,1.0,0,1.0,1,0,3,14,2349,69.0,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
75388,0,147,11,128,1028,12.04785,14.48073,3.0,0,0.0,1,1,3,14,27,147.0,0,6,25.0,1,0.0,Boko Haram
69358,0,60,10,320,3292,31.191312,34.122179,1.0,1,0.0,0,0,3,20,6,60.0,0,6,0.0,0,0.0,Muslim extremists
26267,0,92,6,365,4774,32.040763,75.401886,3.0,0,0.0,1,0,1,3,6512,92.0,0,5,0.0,1,0.0,Sikh Extremists
9580,0,110,10,515,4262,33.888523,35.503513,1.0,0,0.0,1,0,2,4,5526,97.0,0,5,0.0,1,0.0,Palestinians
65733,0,214,9,167,1540,48.730804,37.574596,1.0,0,1.0,1,0,3,14,1888,214.0,0,6,3.0,1,0.0,Donetsk People's Republic
65666,0,146,11,136,957,13.31489,12.6047,1.0,0,1.0,1,0,2,14,205,146.0,0,5,1.0,-9,0.0,Boko Haram
36773,0,186,6,290,2756,6.941837,79.861687,1.0,0,0.0,1,1,3,4,3933,186.0,0,6,9.0,0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
29873,0,209,10,229,2391,41.106178,28.689863,1.0,0,1.0,1,0,7,1,1077,209.0,0,8,0.0,1,0.0,Kurdistan Workers' Party (PKK)
28460,0,159,3,307,5440,-11.967368,-76.978462,1.0,0,0.0,1,0,3,8,7354,159.0,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
52089,0,92,6,152,3010,18.363526,81.895253,2.0,0,0.0,1,0,3,3,330,92.0,0,6,0.0,1,0.0,Maoists
