,iyear,imonth,iday,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,individual,weaptype1,nkill,property,ishostkid,gname
48253,2010,6,24,0,45,3,264,1343,6.964565,-75.417688,1.0,0,0.0,1,0,7,1,1498,45.0,0,8,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
45866,2008,12,16,0,153,6,400,1564,34.006004,71.53743,1.0,0,0.0,1,0,3,14,1743,153.0,0,6,0.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
58197,2014,1,21,0,4,6,383,1527,31.826695,64.56407,2.0,0,0.0,1,0,2,14,1708,4.0,0,5,3.0,-9,0.0,Taliban
67184,2015,4,26,0,182,11,52,188,2.059819,45.326115,1.0,0,0.0,1,0,2,2,335,182.0,0,5,1.0,0,0.0,Al-Shabaab
65305,2015,1,22,0,214,9,117,468,47.981647,37.762325,1.0,0,0.0,1,0,3,19,650,214.0,0,6,13.0,1,0.0,Donetsk People's Republic
78920,2017,2,12,0,92,6,102,961,18.792596,80.813556,1.0,0,0.0,1,0,3,4,12,92.0,0,6,1.0,0,0.0,Maoists
15899,1986,7,4,0,43,3,217,913,-33.366238,-70.505302,1.0,0,0.0,1,0,3,3,273,43.0,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
57095,2013,10,12,0,4,6,379,1513,34.417122,70.449593,1.0,0,0.0,1,1,3,3,1704,4.0,0,6,3.0,1,0.0,Taliban
25305,1990,6,30,0,159,3,223,1392,-12.517373,-76.73399,1.0,0,0.0,1,0,1,2,1564,159.0,0,5,1.0,0,0.0,Shining Path (SL)
58026,2014,1,10,1,45,3,261,1087,8.833333,-73.2,1.0,0,0.0,1,0,6,1,1229,45.0,0,5,0.0,0,1.0,National Liberation Army of Colombia (ELN)
53214,2012,9,9,0,95,10,25,110,33.74324,44.623825,1.0,0,1.0,1,0,3,14,13,95.0,0,6,1.0,0,0.0,Al-Qaida in Iraq
46867,2009,7,23,0,92,6,103,357,22.609739,87.253142,1.0,0,0.0,1,0,7,22,186,92.0,0,11,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
62658,2014,9,9,0,147,11,145,617,12.166918,6.674397,1.0,0,1.0,1,0,6,14,27,147.0,0,5,2.0,1,1.0,Fulani extremists
10969,1983,10,14,0,145,2,327,1223,12.19896,-86.7622,1.0,0,0.0,1,0,3,21,1349,145.0,0,6,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
72409,2016,1,21,0,228,10,39,24,16.930414,49.365315,4.0,0,0.0,1,0,3,4,250,228.0,0,6,4.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
77603,2016,11,17,0,60,10,229,24,30.608472,33.617577,4.0,0,0.0,0,0,3,20,6,60.0,0,6,0.0,0,0.0,Muslim extremists
78916,2017,2,12,0,95,10,28,115,36.354145,43.14357,1.0,0,1.0,1,0,3,14,652,95.0,0,6,1.0,-9,0.0,Islamic State of Iraq and the Levant (ISIL)
56627,2013,8,31,1,45,3,270,1084,6.953691,-71.878846,1.0,0,0.0,1,0,6,3,1230,45.0,0,5,1.0,0,1.0,National Liberation Army of Colombia (ELN)
39829,2002,2,4,0,6,10,248,1038,36.164211,0.440826,1.0,1,0.0,1,0,2,14,1180,6.0,0,5,9.0,0,0.0,Muslim extremists
52668,2012,7,23,0,95,10,27,118,33.540672,44.251266,1.0,0,1.0,1,1,3,3,85,95.0,0,6,12.0,0,0.0,Al-Qaida in Iraq
21809,1989,4,4,0,61,2,121,511,13.69288,-89.199161,1.0,0,1.0,1,0,3,21,671,61.0,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
43381,2006,10,23,0,186,6,209,866,8.757816,80.487907,1.0,0,0.0,1,0,2,14,968,186.0,0,5,1.0,0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
63777,2014,11,2,0,147,11,137,587,8.75392,7.964677,1.0,0,1.0,1,0,7,14,27,147.0,0,8,2.0,1,0.0,Fulani extremists
71688,2015,12,13,0,160,5,286,1128,10.786173,122.206377,1.0,0,1.0,1,0,7,1,1101,160.0,0,8,0.0,1,0.0,New People's Army (NPA)
22492,1989,7,13,0,186,6,208,855,6.941837,79.861687,1.0,0,0.0,1,0,1,17,993,186.0,0,5,2.0,0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
30333,1992,5,15,0,92,6,230,1057,34.08374,74.789902,1.0,0,0.0,1,0,2,3,1616,92.0,0,5,3.0,1,0.0,Sikh Extremists
44329,2007,11,17,0,95,10,27,113,34.208416,43.890713,1.0,0,0.0,0,0,2,4,178,217.0,0,5,6.0,0,0.0,Al-Qaida in Iraq
14643,1985,10,15,0,61,2,129,522,14.050872,-88.994625,1.0,0,0.0,1,0,2,4,672,61.0,0,5,5.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
18805,1988,1,25,0,603,8,161,697,54.607712,-5.95621,1.0,0,0.0,1,0,3,3,827,233.0,0,6,1.0,1,0.0,Irish Republican Army (IRA)
6086,1980,1,14,0,185,8,67,250,43.130387,-2.542155,1.0,0,0.0,1,0,1,3,371,185.0,0,5,1.0,0,0.0,Basque Fatherland and Freedom (ETA)
10877,1983,9,27,0,45,3,269,24,2.535935,-75.52767,4.0,0,0.0,1,0,1,3,1513,45.0,0,5,2.0,0,0.0,Revolutionary Armed Forces of Colombia (FARC)
47736,2010,3,12,1,160,5,283,1147,7.364962,125.853401,1.0,0,0.0,1,0,2,14,13,160.0,0,5,1.0,0,1.0,New People's Army (NPA)
70493,2015,10,7,0,95,10,24,108,33.303566,44.371773,1.0,0,0.0,1,0,3,1,205,95.0,0,6,1.0,-9,0.0,Islamic State of Iraq and the Levant (ISIL)
77765,2016,11,25,0,228,10,151,664,13.586484,44.024105,1.0,0,0.0,1,0,3,14,742,228.0,0,6,2.0,1,0.0,Houthi extremists (Ansar Allah)
45904,2008,12,24,0,160,5,1,30,6.066693,121.100042,1.0,0,0.0,1,0,7,8,38,160.0,0,8,0.0,1,0.0,Abu Sayyaf Group (ASG)
5843,1979,11,15,0,183,11,14,93,-26.252697,27.870275,1.0,0,0.0,1,0,3,3,150,183.0,0,5,2.0,1,0.0,African National Congress (South Africa)
54074,2012,12,18,0,153,6,401,1567,24.891115,67.143311,1.0,0,0.0,1,0,3,3,1744,153.0,0,6,1.0,-9,0.0,Tehrik-i-Taliban Pakistan (TTP)
22671,1989,8,8,0,92,6,364,1443,31.633078,74.878288,1.0,0,0.0,1,0,1,22,1650,92.0,0,5,1.0,0,0.0,Sikh Extremists
19621,1988,5,23,0,603,8,161,697,54.607712,-5.95621,1.0,0,0.0,1,0,2,3,824,233.0,0,5,0.0,1,0.0,Irish Republican Army (IRA)
14419,1985,8,19,0,61,2,121,511,13.69288,-89.199161,1.0,0,0.0,1,0,2,14,682,61.0,0,8,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
52546,2012,7,8,0,182,11,58,214,4.73538,45.2024,1.0,0,0.0,1,0,2,4,48,65.0,0,6,3.0,-9,0.0,Al-Shabaab
