,extended,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,individual,weaptype1,nkill,property,ishostkid,gname
1639,0,0,0.0,1,0,3,3,351,0,6,1.0,1,0.0,Basque Fatherland and Freedom (ETA)
1640,0,0,0.0,1,0,1,3,1542,0,5,1.0,0,0.0,Shining Path (SL)
1641,0,0,0.0,1,0,3,4,796,0,6,0.0,1,0.0,Irish Republican Army (IRA)
1642,0,0,1.0,1,0,3,19,24,0,6,0.0,1,0.0,Abu Sayyaf Group (ASG)
1643,0,0,1.0,1,0,3,1,1037,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
1644,0,0,0.0,1,0,6,14,13,0,5,71.0,0,1.0,Islamic State of Iraq and the Levant (ISIL)
1645,0,0,0.0,1,0,2,4,683,0,5,1.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
1646,0,0,0.0,1,0,6,14,27,0,5,4.0,0,1.0,Fulani extremists
1647,0,0,0.0,1,0,3,3,1108,0,6,0.0,0,0.0,Maoists
1648,0,0,0.0,0,0,3,20,6,0,6,0.0,0,0.0,Kurdistan Workers' Party (PKK)
1649,0,0,0.0,1,0,2,4,672,0,5,19.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
1650,0,0,0.0,1,1,3,2,256,0,6,5.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
1651,0,0,1.0,1,0,3,4,646,0,6,0.0,-9,0.0,Donetsk People's Republic
1652,0,0,0.0,1,0,3,4,332,0,6,0.0,1,0.0,Al-Shabaab
1653,0,0,1.0,1,0,7,21,1210,0,8,2.0,1,0.0,National Liberation Army of Colombia (ELN)
1654,0,0,0.0,1,0,2,4,699,0,5,12.0,1,0.0,Kurdistan Workers' Party (PKK)
1655,0,0,0.0,1,0,3,3,359,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
1656,0,0,0.0,1,0,3,14,615,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
1657,0,0,0.0,1,0,3,1,313,0,5,0.0,1,0.0,Al-Shabaab
1658,1,0,0.0,1,0,4,4,20,0,6,5.0,1,1.0,Houthi extremists (Ansar Allah)
1659,0,0,0.0,1,0,2,14,1420,0,8,0.0,1,0.0,Palestinians
1660,0,1,0.0,1,0,2,3,998,0,5,4.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
1661,0,0,0.0,1,0,2,2,596,0,8,0.0,1,0.0,Corsican National Liberation Front (FLNC)
1662,0,0,1.0,1,0,7,1,1063,0,8,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
1663,0,0,0.0,1,0,1,14,1759,0,5,3.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
1664,0,0,0.0,1,0,1,2,310,0,5,1.0,0,0.0,Al-Shabaab
1665,0,0,0.0,1,0,1,14,1549,0,5,1.0,0,0.0,Shining Path (SL)
1666,0,0,1.0,1,0,3,21,688,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
1667,0,0,0.0,1,0,3,21,140,0,6,0.0,1,0.0,African National Congress (South Africa)
1668,0,0,0.0,1,0,1,3,824,0,5,1.0,0,0.0,Irish Republican Army (IRA)
1669,0,0,0.0,1,0,7,16,1305,0,8,0.0,1,0.0,New People's Army (NPA)
1670,0,0,0.0,1,0,7,2,709,0,8,1.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
1671,0,0,0.0,1,1,3,14,307,0,6,2.0,1,0.0,Al-Shabaab
1672,0,0,0.0,1,0,7,14,1115,0,8,0.0,1,0.0,Maoists
1673,0,0,1.0,1,0,3,19,505,0,6,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
1674,0,1,1.0,1,0,3,6,775,0,6,1.0,0,0.0,Muslim extremists
1675,0,0,0.0,1,0,2,19,497,0,5,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
1676,1,0,0.0,1,0,6,14,29,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
1677,0,0,0.0,1,0,3,14,1730,0,6,8.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
1678,0,0,0.0,1,0,1,3,805,0,5,1.0,0,0.0,Irish Republican Army (IRA)
1679,0,0,0.0,1,1,3,4,20,0,6,4.0,-9,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
1680,0,0,0.0,1,0,2,4,20,0,5,6.0,0,0.0,Muslim extremists
1681,0,0,0.0,1,0,3,14,60,0,6,1.0,1,0.0,Abu Sayyaf Group (ASG)
1682,0,0,0.0,1,0,1,14,1401,0,9,1.0,0,0.0,Palestinians
1683,0,0,0.0,1,0,7,8,1383,0,8,0.0,1,0.0,Palestinians
1684,0,0,1.0,1,0,2,14,993,0,5,31.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
1685,0,0,0.0,1,0,2,3,12,0,5,3.0,0,0.0,Boko Haram
1686,0,0,0.0,1,0,2,4,238,0,5,5.0,-9,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
1687,0,0,0.0,0,0,7,1,792,0,8,0.0,1,0.0,Irish Republican Army (IRA)
1688,0,0,0.0,1,0,1,14,829,0,5,1.0,0,0.0,Irish Republican Army (IRA)
1689,0,0,0.0,1,0,3,2,56,0,6,3.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
1690,0,0,0.0,1,0,3,4,48,0,6,0.0,0,0.0,Donetsk People's Republic
1691,0,0,0.0,1,0,2,15,446,0,5,3.0,1,0.0,Boko Haram
1692,0,0,0.0,1,0,2,2,1225,0,5,0.0,0,1.0,National Liberation Army of Colombia (ELN)
1693,0,0,0.0,1,0,3,4,643,0,6,2.0,0,0.0,Donetsk People's Republic
1694,0,0,0.0,1,0,3,3,443,0,6,1.0,1,0.0,Boko Haram
1695,0,0,0.0,1,0,3,4,1298,0,6,2.0,0,0.0,New People's Army (NPA)
1696,0,0,0.0,1,0,3,2,1568,0,6,1.0,1,0.0,Shining Path (SL)
1697,0,0,0.0,1,0,2,3,250,0,5,2.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
