,extended,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,individual,weaptype1,nkill,property,ishostkid,gname
0,0,0,0.0,1,0,2,8,6147,0,5,1.0,1,0.0,Shining Path (SL)
1,0,0,0.0,1,0,3,1,2487,0,5,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
2,0,0,0.0,1,0,3,14,1871,0,6,4.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
3,0,0,0.0,1,0,3,14,1951,0,6,5.0,1,0.0,Donetsk People's Republic
4,1,0,0.0,1,0,6,4,20,0,5,8.0,-9,1.0,Al-Qaida in the Arabian Peninsula (AQAP)
5,0,0,0.0,1,0,1,14,3163,0,5,1.0,0,0.0,Irish Republican Army (IRA)
6,0,0,0.0,1,0,2,19,7245,0,8,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
7,0,0,0.0,1,0,2,3,514,0,5,11.0,1,0.0,National Liberation Army of Colombia (ELN)
8,0,0,0.0,1,0,2,14,3665,0,5,1.0,0,0.0,Kurdistan Workers' Party (PKK)
9,0,0,0.0,1,0,3,2,7227,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
10,0,0,0.0,1,0,3,8,1865,0,6,15.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
11,1,0,0.0,1,0,6,14,5859,0,5,0.0,0,1.0,Revolutionary Armed Forces of Colombia (FARC)
12,0,0,0.0,1,0,2,4,12,0,5,0.0,1,0.0,Palestinians
13,0,0,1.0,1,0,3,14,2468,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
14,0,0,0.0,1,0,1,14,6321,0,5,4.0,0,0.0,Shining Path (SL)
15,0,0,0.0,1,0,2,4,4346,0,6,3.0,0,0.0,Tehrik-i-Taliban Pakistan (TTP)
16,0,0,0.0,1,0,6,10,3019,0,5,0.0,0,1.0,Houthi extremists (Ansar Allah)
17,0,0,0.0,1,1,1,2,6797,0,6,2.0,0,0.0,Taliban
18,0,0,1.0,1,0,1,8,7296,0,5,1.0,0,0.0,Tupac Amaru Revolutionary Movement (MRTA)
19,0,0,1.0,1,0,2,14,27,0,5,2.0,0,0.0,Fulani extremists
20,0,0,0.0,1,0,1,1,2709,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
21,0,0,0.0,1,0,3,11,5358,0,5,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
22,0,1,0.0,0,0,2,14,27,0,5,0.0,0,0.0,Boko Haram
23,0,1,0.0,1,0,2,4,238,0,5,2.0,1,0.0,Abu Sayyaf Group (ASG)
24,1,0,0.0,1,0,2,14,6899,0,5,4.0,0,1.0,Tehrik-i-Taliban Pakistan (TTP)
25,0,0,1.0,1,0,3,1,1557,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
26,0,0,0.0,0,0,1,14,5531,0,9,0.0,0,0.0,Palestinians
27,0,0,0.0,1,0,1,14,985,0,5,5.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
28,0,0,0.0,1,0,3,22,2176,0,6,0.0,-9,0.0,Communist Party of India - Maoist (CPI-Maoist)
29,0,0,0.0,1,0,2,4,3631,0,5,1.0,0,0.0,Kurdistan Workers' Party (PKK)
30,0,1,0.0,1,0,2,14,5601,0,5,0.0,0,0.0,Palestinians
31,0,0,0.0,1,0,2,4,6924,0,5,3.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
32,0,0,0.0,1,0,2,3,20,0,5,1.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
33,0,0,0.0,1,0,2,22,595,0,5,20.0,1,0.0,African National Congress (South Africa)
34,0,0,0.0,1,0,3,21,4835,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
35,0,0,0.0,1,0,1,3,2432,0,5,1.0,0,0.0,New People's Army (NPA)
36,0,0,0.0,1,0,3,6,5627,0,6,0.0,1,0.0,Palestinians
37,0,0,0.0,1,0,3,2,481,0,6,0.0,1,0.0,African National Congress (South Africa)
38,1,1,0.0,1,0,6,14,1270,0,5,1.0,1,1.0,Al-Shabaab
39,0,0,0.0,1,0,2,3,6402,0,5,1.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
40,0,0,0.0,1,0,2,3,4392,0,5,2.0,0,0.0,Maoists
41,0,0,0.0,1,0,3,3,330,0,6,1.0,1,0.0,Kurdistan Workers' Party (PKK)
42,0,0,0.0,1,0,3,2,5432,0,5,2.0,1,0.0,Nicaraguan Democratic Force (FDN)
43,0,0,0.0,1,0,2,4,2685,0,5,10.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
44,0,0,0.0,1,0,1,2,1235,0,5,1.0,0,0.0,Al-Shabaab
45,0,0,0.0,0,0,6,4,268,0,9,0.0,0,0.0,Muslim extremists
46,0,0,0.0,1,0,1,14,3146,0,5,1.0,0,0.0,Irish Republican Army (IRA)
47,0,0,1.0,1,0,3,4,48,0,6,1.0,0,0.0,Kurdistan Workers' Party (PKK)
48,0,0,0.0,1,0,2,14,6243,0,5,1.0,1,0.0,Shining Path (SL)
49,0,0,1.0,1,0,3,3,767,0,6,7.0,-9,0.0,Al-Qaida in Iraq
50,0,0,0.0,1,0,7,19,4391,0,11,0.0,1,0.0,Maoists
51,0,0,1.0,1,0,3,1,755,0,6,4.0,1,0.0,Al-Qaida in Iraq
52,0,0,0.0,1,0,2,14,4850,0,5,1.0,1,1.0,National Liberation Army of Colombia (ELN)
53,0,0,0.0,1,0,2,3,514,0,5,4.0,1,0.0,Sikh Extremists
54,0,0,0.0,1,0,3,21,4800,0,6,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
55,0,0,0.0,1,0,2,14,2781,0,5,1.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
56,0,0,0.0,1,0,3,2,3946,0,6,0.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
57,0,0,0.0,1,0,3,4,167,0,6,0.0,0,0.0,Maoists
58,0,0,0.0,1,0,3,14,205,0,6,0.0,-9,0.0,Donetsk People's Republic
59,0,0,0.0,1,0,2,3,12,0,5,1.0,0,0.0,Maoists
60,0,0,0.0,1,0,3,3,172,0,6,48.0,1,0.0,Taliban
61,0,0,0.0,1,0,1,4,3186,0,5,1.0,0,0.0,Irish Republican Army (IRA)
62,0,0,0.0,1,0,2,4,5140,0,5,2.0,-9,0.0,New People's Army (NPA)
63,0,0,1.0,1,0,2,17,305,0,5,1.0,0,0.0,Kurdistan Workers' Party (PKK)
64,0,0,0.0,1,0,2,14,6268,0,5,6.0,1,0.0,Shining Path (SL)
65,0,0,0.0,1,0,3,14,330,0,6,5.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
66,0,0,0.0,1,0,3,2,330,0,6,1.0,1,0.0,Al-Shabaab
67,0,0,0.0,1,0,3,21,6029,0,6,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
68,1,0,0.0,1,0,6,2,6777,0,5,1.0,0,1.0,Taliban
69,0,0,0.0,1,0,3,15,5494,0,6,0.0,1,0.0,Palestinians
70,0,0,0.0,1,0,6,14,2599,0,9,0.0,0,1.0,Donetsk People's Republic
71,0,0,0.0,1,1,3,3,767,0,6,12.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
72,0,0,1.0,0,0,2,14,27,0,5,0.0,0,0.0,Fulani extremists
73,0,0,0.0,1,0,3,4,3881,0,6,2.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
74,0,0,0.0,1,0,3,4,2956,0,6,0.0,1,0.0,Houthi extremists (Ansar Allah)
75,0,0,0.0,0,0,1,1,5828,0,5,0.0,0,0.0,Revolutionary Armed Forces of Colombia (FARC)
76,0,0,0.0,1,0,2,4,912,0,6,0.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
77,0,0,1.0,1,0,3,21,1575,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
78,1,0,1.0,1,0,6,1,6938,0,5,1.0,1,1.0,Tehrik-i-Taliban Pakistan (TTP)
79,0,0,1.0,1,0,7,19,56,0,8,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
80,0,0,0.0,1,0,3,21,410,0,6,0.0,1,0.0,African National Congress (South Africa)
81,0,0,0.0,1,0,2,4,12,0,5,5.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
82,0,0,1.0,1,1,3,3,20,0,6,6.0,1,0.0,Al-Qaida in Iraq
83,0,0,0.0,1,0,3,14,5539,0,6,0.0,1,0.0,Palestinians
84,0,0,0.0,0,0,1,3,625,0,9,0.0,0,0.0,Palestinians
85,1,0,0.0,1,0,6,14,4829,0,5,0.0,0,1.0,National Liberation Army of Colombia (ELN)
86,0,0,0.0,1,0,3,2,2401,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
87,0,1,0.0,1,0,3,16,2108,0,6,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
88,0,0,1.0,1,0,3,1,1557,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
89,0,0,0.0,1,0,3,14,205,0,6,0.0,-9,0.0,Donetsk People's Republic
90,1,1,0.0,1,0,6,4,3470,0,6,1.0,1,1.0,Islamic State of Iraq and the Levant (ISIL)
91,0,1,0.0,1,0,2,19,6602,0,5,8.0,0,0.0,Sikh Extremists
92,0,0,0.0,1,0,3,3,512,0,6,0.0,1,0.0,African National Congress (South Africa)
93,0,0,0.0,0,0,1,15,4631,0,5,0.0,1,0.0,Muslim extremists
94,0,0,1.0,1,0,3,15,215,0,6,1.0,0,0.0,Al-Qaida in Iraq
95,0,0,1.0,1,0,2,19,5138,0,8,0.0,1,0.0,New People's Army (NPA)
96,0,0,0.0,0,1,3,1,3015,0,6,0.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
97,0,0,0.0,1,0,3,4,1033,0,6,1.0,-9,0.0,Al-Shabaab
98,0,0,1.0,1,0,2,14,27,0,5,1.0,1,0.0,Fulani extremists
99,0,0,0.0,0,0,3,1,1557,0,6,0.0,0,0.0,Corsican National Liberation Front (FLNC)
100,1,0,0.0,1,0,6,14,2023,0,5,1.0,0,1.0,Communist Party of India - Maoist (CPI-Maoist)
101,0,0,0.0,1,0,2,3,3195,0,5,2.0,1,0.0,Shining Path (SL)
102,0,0,0.0,1,0,8,14,5695,0,9,1.0,1,0.0,Palestinians
103,0,0,0.0,1,0,2,4,803,0,5,9.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
104,0,0,0.0,1,0,7,1,5169,0,5,0.0,1,0.0,New People's Army (NPA)
105,0,0,0.0,1,0,2,4,0,0,5,1.0,0,0.0,New People's Army (NPA)
106,0,0,1.0,1,0,2,2,3568,0,5,1.0,1,0.0,Kurdistan Workers' Party (PKK)
107,0,0,0.0,1,0,2,4,4314,0,5,0.0,0,0.0,Maoists
108,0,0,0.0,1,0,1,4,1469,0,5,1.0,0,0.0,Basque Fatherland and Freedom (ETA)
109,1,0,0.0,1,0,6,14,239,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
110,0,0,0.0,1,0,3,3,6804,0,6,1.0,1,0.0,Taliban
111,0,0,0.0,1,1,3,14,367,0,6,2.0,1,0.0,Al-Shabaab
112,0,0,1.0,1,0,3,20,6,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
113,0,0,0.0,0,0,3,18,5670,0,6,0.0,1,0.0,Palestinians
114,0,0,1.0,1,0,3,4,48,0,6,1.0,-9,0.0,Donetsk People's Republic
115,0,1,0.0,1,0,3,3,12,0,6,2.0,0,0.0,Maoists
116,0,0,0.0,0,0,1,2,3788,0,6,0.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
117,0,0,1.0,1,0,3,14,2953,0,6,2.0,1,0.0,Houthi extremists (Ansar Allah)
118,0,0,0.0,0,0,1,18,5711,0,9,0.0,0,0.0,Palestinians
119,0,0,0.0,1,0,2,14,27,0,5,5.0,1,0.0,Fulani extremists
120,1,0,0.0,1,0,6,14,209,0,5,1.0,0,1.0,Abu Sayyaf Group (ASG)
121,0,0,0.0,0,0,1,2,1247,0,5,12.0,1,0.0,Al-Shabaab
122,0,0,0.0,1,0,2,21,3629,0,6,3.0,1,0.0,Kurdistan Workers' Party (PKK)
123,0,0,0.0,1,0,2,4,2660,0,5,5.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
124,0,0,0.0,1,1,3,4,1390,0,6,8.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
125,0,0,1.0,1,1,3,8,1818,0,6,1.0,-9,0.0,Boko Haram
126,0,0,0.0,1,0,2,3,4300,0,12,0.0,0,0.0,Maoists
127,0,0,0.0,1,0,3,6,2486,0,6,1.0,1,0.0,Corsican National Liberation Front (FLNC)
128,0,0,0.0,1,0,2,14,2964,0,5,3.0,-9,0.0,Houthi extremists (Ansar Allah)
129,0,0,0.0,1,0,1,14,3294,0,5,1.0,0,0.0,Irish Republican Army (IRA)
130,0,0,0.0,1,0,3,14,27,0,6,3.0,1,0.0,Donetsk People's Republic
131,0,0,0.0,1,0,1,14,6519,0,5,1.0,0,0.0,Sikh Extremists
132,0,0,0.0,1,0,3,4,59,0,6,0.0,0,0.0,Abu Sayyaf Group (ASG)
133,1,0,0.0,1,0,6,4,268,0,5,1.0,0,1.0,Kurdistan Workers' Party (PKK)
134,0,0,0.0,1,0,2,4,402,0,6,5.0,-9,0.0,Al-Shabaab
135,0,0,0.0,1,0,3,19,5647,0,6,0.0,1,0.0,Palestinians
136,0,0,1.0,1,0,3,14,13,0,6,2.0,-9,0.0,Al-Qaida in Iraq
137,0,0,0.0,1,0,2,4,1498,0,5,1.0,-9,0.0,Basque Fatherland and Freedom (ETA)
138,0,0,0.0,1,0,1,2,6206,0,5,1.0,0,0.0,Shining Path (SL)
139,0,0,1.0,1,0,3,4,12,0,6,4.0,-9,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
140,0,0,0.0,1,0,2,21,2772,0,5,1.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
141,0,1,0.0,1,0,7,8,6918,0,8,0.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
142,0,0,0.0,1,0,3,4,2958,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
143,0,0,0.0,1,0,3,4,48,0,6,2.0,0,0.0,Al-Shabaab
144,0,0,1.0,1,0,7,14,27,0,8,0.0,1,0.0,Boko Haram
145,0,0,0.0,1,0,2,2,4782,0,5,0.0,0,1.0,National Liberation Army of Colombia (ELN)
146,0,0,0.0,1,0,3,2,5871,0,6,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
147,0,0,0.0,1,0,2,14,2781,0,5,24.0,1,1.0,Farabundo Marti National Liberation Front (FMLN)
148,0,0,0.0,1,0,1,2,2768,0,5,1.0,0,0.0,Farabundo Marti National Liberation Front (FMLN)
149,0,0,0.0,1,0,3,1,2171,0,6,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
